algorithm,k,m,seed,elapsed_ms
alg1,2,3,445,9.06
alg1,2,3,8724,5.52
alg1,2,3,6254,4.38
alg1,2,6,445,5.53
alg1,2,6,8724,6.29
alg1,2,6,6254,7.32
alg1,2,12,445,7.21
alg1,2,12,8724,7.16
alg1,2,12,6254,7.7
alg1,2,24,445,9.95
alg1,2,24,8724,9.0
alg1,2,24,6254,39.35
alg1,2,10000,445,6590.34
alg1,2,10000,8724,6483.73
alg1,2,10000,6254,6783.53
alg2,2,3,445,5.24
alg2,2,3,8724,4.43
alg2,2,3,6254,4.52
alg2,2,6,445,5.3
alg2,2,6,8724,4.57
alg2,2,6,6254,5.1
alg2,2,12,445,5.92
alg2,2,12,8724,6.37
alg2,2,12,6254,6.68
alg2,2,24,445,9.48
alg2,2,24,8724,8.63
alg2,2,24,6254,8.19
alg2,2,10000,445,6761.95
alg2,2,10000,8724,7750.63
alg2,2,10000,6254,6642.26
alg2,4,3,445,5.68
alg2,4,3,8724,4.18
alg2,4,3,6254,4.44
alg2,4,6,445,5.22
alg2,4,6,8724,6.81
alg2,4,6,6254,5.43
alg2,4,12,445,6.6
alg2,4,12,8724,6.71
alg2,4,12,6254,8.25
alg2,4,24,445,8.92
alg2,4,24,8724,9.31
alg2,4,24,6254,8.37
alg2,4,10000,445,6630.19
alg2,4,10000,8724,6552.73
alg2,4,10000,6254,6557.82
alg2,8,3,445,5.66
alg2,8,3,8724,4.51
alg2,8,3,6254,4.66
alg2,8,6,445,5.56
alg2,8,6,8724,5.9
alg2,8,6,6254,6.31
alg2,8,12,445,7.13
alg2,8,12,8724,7.71
alg2,8,12,6254,8.84
alg2,8,24,445,12.34
alg2,8,24,8724,10.01
alg2,8,24,6254,9.74
alg2,8,10000,445,6835.1
alg2,8,10000,8724,6862.76
alg2,8,10000,6254,7035.61
