algorithm,k,m,seed,elapsed_ms
alg1,2,3,1870,8.04
alg1,2,3,6298,5.42
alg1,2,3,4478,4.67
alg1,2,6,1870,5.95
alg1,2,6,6298,7.89
alg1,2,6,4478,6.11
alg1,2,12,1870,7.3
alg1,2,12,6298,7.68
alg1,2,12,4478,9.33
alg1,2,24,1870,11.05
alg1,2,24,6298,10.0
alg1,2,24,4478,38.17
alg1,2,10000,1870,6836.08
alg1,2,10000,6298,6851.18
alg1,2,10000,4478,6718.31
alg2,2,3,1870,5.25
alg2,2,3,6298,4.33
alg2,2,3,4478,5.67
alg2,2,6,1870,5.57
alg2,2,6,6298,5.0
alg2,2,6,4478,4.44
alg2,2,12,1870,8.3
alg2,2,12,6298,7.18
alg2,2,12,4478,7.58
alg2,2,24,1870,9.72
alg2,2,24,6298,8.26
alg2,2,24,4478,9.38
alg2,2,10000,1870,6636.19
alg2,2,10000,6298,6686.99
alg2,2,10000,4478,6655.15
alg2,8,3,1870,5.31
alg2,8,3,6298,5.82
alg2,8,3,4478,4.87
alg2,8,6,1870,5.69
alg2,8,6,6298,5.57
alg2,8,6,4478,5.52
alg2,8,12,1870,6.95
alg2,8,12,6298,8.29
alg2,8,12,4478,9.27
alg2,8,24,1870,11.73
alg2,8,24,6298,10.36
alg2,8,24,4478,13.68
alg2,8,10000,1870,6780.58
alg2,8,10000,6298,6415.08
alg2,8,10000,4478,6436.57
alg2,1000,3,1870,7.93
alg2,1000,3,6298,10.68
alg2,1000,3,4478,6.15
alg2,1000,6,1870,28.4
alg2,1000,6,6298,7.86
alg2,1000,6,4478,7.71
alg2,1000,12,1870,10.85
alg2,1000,12,6298,13.38
alg2,1000,12,4478,11.41
alg2,1000,24,1870,18.61
alg2,1000,24,6298,17.88
alg2,1000,24,4478,22.99
alg2,1000,10000,1870,11178.59
alg2,1000,10000,6298,11193.73
alg2,1000,10000,4478,11199.9
