algorithm,k,m,seed,elapsed_ms
alg1,2,3,8556,10.88
alg1,2,3,693,8.37
alg1,2,3,9793,8.32
alg1,2,6,8556,8.5
alg1,2,6,693,7.8
alg1,2,6,9793,7.23
alg1,2,12,8556,10.08
alg1,2,12,693,8.91
alg1,2,12,9793,7.52
alg1,2,24,8556,11.88
alg1,2,24,693,16.39
alg1,2,24,9793,46.41
alg1,2,10000,8556,7090.05
alg1,2,10000,693,6878.04
alg1,2,10000,9793,6895.53
alg2,2,3,8556,5.82
alg2,2,3,693,4.53
alg2,2,3,9793,5.49
alg2,2,6,8556,5.43
alg2,2,6,693,6.48
alg2,2,6,9793,6.89
alg2,2,12,8556,7.17
alg2,2,12,693,6.71
alg2,2,12,9793,6.19
alg2,2,24,8556,10.21
alg2,2,24,693,12.08
alg2,2,24,9793,12.36
alg2,2,10000,8556,7018.08
alg2,2,10000,693,6737.75
alg2,2,10000,9793,6742.75
alg2,8,3,8556,6.78
alg2,8,3,693,4.83
alg2,8,3,9793,4.96
alg2,8,6,8556,6.08
alg2,8,6,693,5.72
alg2,8,6,9793,5.68
alg2,8,12,8556,7.49
alg2,8,12,693,8.84
alg2,8,12,9793,8.61
alg2,8,24,8556,12.31
alg2,8,24,693,9.59
alg2,8,24,9793,10.42
alg2,8,10000,8556,6794.98
alg2,8,10000,693,6786.77
alg2,8,10000,9793,6838.9
alg2,1000,3,8556,7.63
alg2,1000,3,693,7.84
alg2,1000,3,9793,6.67
alg2,1000,6,8556,10.74
alg2,1000,6,693,10.78
alg2,1000,6,9793,10.5
alg2,1000,12,8556,14.88
alg2,1000,12,693,14.25
alg2,1000,12,9793,13.0
alg2,1000,24,8556,21.0
alg2,1000,24,693,21.84
alg2,1000,24,9793,22.39
alg2,1000,10000,8556,11890.3
alg2,1000,10000,693,11925.51
alg2,1000,10000,9793,12047.41
alg1_cpp,2,3,8556,129.22
alg1_cpp,2,3,693,5.91
alg1_cpp,2,3,9793,4.53
alg1_cpp,2,6,8556,5.08
alg1_cpp,2,6,693,6.48
alg1_cpp,2,6,9793,6.03
alg1_cpp,2,12,8556,7.88
alg1_cpp,2,12,693,7.88
alg1_cpp,2,12,9793,8.55
alg1_cpp,2,24,8556,10.58
alg1_cpp,2,24,693,10.88
alg1_cpp,2,24,9793,13.16
alg1_cpp,2,10000,8556,6726.1
alg1_cpp,2,10000,693,6633.8
alg1_cpp,2,10000,9793,6630.96
alg2_cpp,2,3,8556,5.21
alg2_cpp,2,3,693,4.23
alg2_cpp,2,3,9793,6.3
alg2_cpp,2,6,8556,5.67
alg2_cpp,2,6,693,4.92
alg2_cpp,2,6,9793,5.79
alg2_cpp,2,12,8556,8.01
alg2_cpp,2,12,693,6.66
alg2_cpp,2,12,9793,7.14
alg2_cpp,2,24,8556,9.56
alg2_cpp,2,24,693,9.93
alg2_cpp,2,24,9793,11.18
alg2_cpp,2,10000,8556,6706.49
alg2_cpp,2,10000,693,6655.7
alg2_cpp,2,10000,9793,6630.92
alg2_cpp,8,3,8556,5.47
alg2_cpp,8,3,693,4.46
alg2_cpp,8,3,9793,4.12
alg2_cpp,8,6,8556,6.83
alg2_cpp,8,6,693,5.41
alg2_cpp,8,6,9793,5.47
alg2_cpp,8,12,8556,6.36
alg2_cpp,8,12,693,7.54
alg2_cpp,8,12,9793,7.39
alg2_cpp,8,24,8556,10.19
alg2_cpp,8,24,693,9.79
alg2_cpp,8,24,9793,10.38
alg2_cpp,8,10000,8556,6815.65
alg2_cpp,8,10000,693,6657.11
alg2_cpp,8,10000,9793,6665.42
alg2_cpp,1000,3,8556,7.89
alg2_cpp,1000,3,693,6.83
alg2_cpp,1000,3,9793,10.12
alg2_cpp,1000,6,8556,9.23
alg2_cpp,1000,6,693,10.56
alg2_cpp,1000,6,9793,10.87
alg2_cpp,1000,12,8556,12.98
alg2_cpp,1000,12,693,12.37
alg2_cpp,1000,12,9793,12.47
alg2_cpp,1000,24,8556,19.39
alg2_cpp,1000,24,693,21.16
alg2_cpp,1000,24,9793,22.68
alg2_cpp,1000,10000,8556,11721.86
alg2_cpp,1000,10000,693,11581.95
alg2_cpp,1000,10000,9793,11562.02
